modelica.stopTime,modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
'2678400',155044789.209,83.0371048386,1.4584206778,801375061.97464848,2066820540353.8496
'2678400',104320128.114,119.485146752,1.38475693137,1124707195.4018888,2004482673957.5388
'2678400',87029225.085,80.9409047273,1.3407474615,959483764.79877555,1965706330934.1416
'2678400',20477254.9511,109.284238704,1.42146875316,2838271935.0559764,2038047463287.0339
'2678400',95997015.6923,103.260299634,1.42120125394,1105855962.153055,2036781744789.937
'2678400',14306622.5895,90.9884976996,1.26253966524,3004372527.698875,1897574057537.5566
'2678400',122187546.211,87.3139985453,1.0529638909,676017271.6116097,1701399854151.7185
'2678400',113922117.582,82.5026568831,1.15634765538,740434820.90400672,1802323942039.2141
'2678400',75428487.7232,81.9854196358,1.08670015255,850954227.75719476,1740205057631.0498
'2678400',96213085.6646,102.555250109,1.42329340187,1103017004.9602911,2038627373560.1899
'2678400',15109502.0831,85.6993315366,1.04022956879,1780767376.2467029,1688347564135.0828
'2678400',145968678.652,112.050082623,1.13335132758,759316292.89386511,1781692418578.2473
'2678400',96135582.9658,91.6815362917,1.44858272438,1057153754.677569,2060963924629.7935
'2678400',17150777.4324,102.711844213,1.3559563646,2363120616.9418178,1980154055406.3792
'2678400',143328369.114,82.5625582255,1.37776253473,787651497.05029452,1997707858447.3096
'2678400',140725525.903,90.2206634872,1.15817587115,701846834.59290028,1803641084880.3953
'2678400',118064948.464,111.553399655,1.3573085911,992921694.23608541,1980032584348.1387
'2678400',21095203.8625,118.563948524,1.03395489159,2218837989.9931641,1681163302177.1304
'2678400',36368181.755,86.6995215238,1.03147141659,1228978536.9968894,1678130340363.175
'2678400',83906922.2531,99.5972774355,1.49255386362,1220314729.16663,2100026029690.2834
'2678400',58123238.9223,106.92049712,1.22028578637,1289447011.8830054,1859623172764.6414
'2678400',147565567.372,104.77986029,1.31853462739,842380930.60639346,1945382196512.5977
'2678400',142656918.943,91.1400273579,1.14189021207,693224568.43003595,1789223009348.2449
'2678400',105899974.462,94.0875975416,1.08968373348,776858234.05986905,1743229240017.7544
'2678400',132846110.061,104.19876778,1.49040765965,991339368.73287904,2097519220013.9021
'2678400',59167752.4728,116.469607015,1.12673927652,1257526454.1380107,1776896340876.6973
'2678400',79840661.6534,89.5299758033,1.07626312695,857279379.4726516,1728332714156.106
'2678400',94292089.068,104.036620446,1.32018413078,1045281300.846337,1947482883476.1348
'2678400',25132462.6242,94.6994555341,1.08675886198,1857915293.3676677,1740961728096.8438
'2678400',14584605.0686,118.30317812,1.27758161509,2994604870.9255619,1910881367829.8025
'2678400',79159421.0852,106.862161408,1.45340590029,1266774405.8072429,2065487614979.0308
'2678400',128693569.997,87.0521431278,1.36963246933,846721783.15700531,1990728260856.2327
'2678400',65180758.7263,93.4676577143,1.23813490918,1126212174.2156248,1875291866323.8862
'2678400',33608253.8162,106.618989894,1.18861266084,1787571254.085397,1831937895190.8992
'2678400',89197436.9616,98.0656769209,1.40115529894,1098860219.5982006,2019134079984.3696
'2678400',83385250.4119,92.0064415674,1.12735450462,895437784.78222358,1777093483045.8064
'2678400',142604329.242,118.070539272,1.48957192731,1024758655.0349339,2096700542995.4924
'2678400',141896697.046,86.0420187891,1.43314824515,839621095.06659532,2046709796895.8555
'2678400',109480269.896,86.682177635,1.10141082475,741490913.13297486,1753816987512.3328
'2678400',143899035.922,116.937028577,1.0539401276,732341274.63000631,1702324163065.9868
'2678400',65768096.5328,102.223603268,1.01329106732,975288245.60538101,1657151073335.0911
'2678400',80485358.1217,113.326038325,1.05509314212,969688623.92890656,1704364787217.8462
'2678400',167367620.779,110.263182239,1.0761438615,672787734.85905135,1727210935299.448
'2678400',165232089.825,97.2546778437,1.12489045985,659744044.93448544,1773946664229.5498
'2678400',168289706.343,94.2927818675,1.01357862721,584831432.20577824,1656240979856.3213
'2678400',58461598.0614,111.571874453,1.24292268611,1349709654.0760498,1879642108132.427
'2678400',60354804.8114,90.6702656793,1.10890037672,1028567097.0822085,1761073336543.978
'2678400',152241910.703,99.664652606,1.01173923522,629535299.90340042,1654360714592.2305
'2678400',58596594.4475,110.777410203,1.17421244016,1249630671.5036714,1818878509960.1116
'2678400',36103799.1711,90.8148862168,1.33508532508,1720693037.1506889,1961423484309.2476
'2678400',157206226.834,93.1117960348,1.34602899519,782973270.26482522,1969529652538.2178
'2678400',129787518.984,115.492874792,1.47282600023,1045956335.1846343,2082041158250.9429
'2678400',155020032.973,103.851677975,1.46114230212,903403561.23070025,2071371716809.1074
'2678400',147839052.875,112.082485885,1.43580917351,946321002.62575591,2049087201562.0107
'2678400',104804063.689,93.6008292908,1.09909430203,782299835.67568696,1751840911965.4175
'2678400',93982959.701,91.7985332574,1.20484946929,896638667.0173893,1845481025555.9177
'2678400',45413343.1658,109.107021265,1.22918350172,1539200789.7829442,1867662453510.2
'2678400',39421189.6318,86.1178476968,1.27776581437,1500693152.5641618,1910682623152.7358
'2678400',104017590.582,109.132038596,1.13994529163,884016059.52519059,1788000099052.5635
'2678400',130824628.265,104.610161095,1.41191865979,946323821.07525957,2028148041913.0967
'2678400',141279644.988,114.475099584,1.40675504955,956591666.7721045,2023483377953.2471
'2678400',146730058.227,105.562264901,1.20992059203,781705464.66259456,1849365568954.1919
'2678400',36977816.3478,92.6895369902,1.10583253341,1400012346.5953369,1758676967858.4958
'2678400',145899397.897,92.0182786274,1.05319988312,638370964.81690991,1701401816727.5986
'2678400',17929723.2602,81.5754015775,1.13740779609,1870027567.3023739,1786854139092.7339
'2678400',146874118.761,106.452341895,1.05790132966,692454189.19723821,1706758897036.2891
'2678400',19177475.1622,93.5306794123,1.30451880943,2039141826.4829009,1934630904205.0532
'2678400',82680816.5619,87.4760209001,1.30048462525,998193898.07984495,1930179895039.0283
'2678400',70136171.3267,100.365928666,1.32179693328,1194524119.7330773,1949218041288.3879
'2678400',83140073.6997,112.122111625,1.16467642025,1038242683.844812,1810131739011.2148
